    id  size  #exact    ago(h)
    90   938       0        63
   762  1088       0        39
   786  2153       0        39
   454   498       0        38
  1090  2411       0        38
  1095  1650       0        38
  1148  1545       0        37
   678   294       0        36
  1133  4018       0        36
  1154  2279       0        36
  1157  1572       0        35
  1485  2952       0        35
  1616  4627       0        35
  1159  1608       0        34
  1486  2451       0        34
  1617  3245       0        34
  1711   559       0        34
   681   287       0        33
  1160  1672       0        33
  1488   817       0        33
  1619  2464       0        33
  1712   585       0        33
   682   287       0        32
  1163  1106       0        32
  1621  1935       0        32
   683   290       0        31
  1169  1430       0        31
  1490  3513       0        31
  2119  4013       0        31
  2087  1454       0        30
  2227  3042       0        30
  1626  2911       0        29
  1716   582       0        29
  2090  1567       0        29
  1627  4030       0        28
  2091  2197       0        28
  1628  1559       0        27
  2093  1744       0        27
  1629  2810       0        26
  1719   560       0        26
  2095  1948       0        26
  2097  1751       0        25
  2761  2190       0        25
   690   289       0        24
  1631  2342       0        24
  2098  1995       0        24
  2753   530       0        24
  2759   522       0        23
  3145   485       0        23
  3177  1884       0        23
  1633  1443       0        22
  2103  2034       0        22
  3193   539       0        22
  1634  2055       0        21
  2110  1747       0        21
  3199   535       0        21
  3560  4981       0        21
  3580  1604       0        21
  1635  2202       0        20
  2111  1893       0        20
  3245   535       0        20
  3610  2695       0        20
  3706   824       0        20
  3813  1120       0        20
  3852  4996       0        20
  3871  1591       0        20
  1966  1510       0        19
  2120  1521       0        19
  2578   999       0        19
  3348  1811       0        19
  3707   791       0        19
  3819  3142       0        19
  3840  2136       0        19
  3854  4999       0        19
  4028  3863       0        19
  4060  1310       0        19
  4077  1419       0        19
  4101  2279       0        19
  1637  2744       0        18
  1987  1034       0        18
  2121  1578       0        18
  2721   856       0        18
  2877   556       0        18
  3031   290       0        18
  3622  2432       0        18
  3708   810       0        18
  3867   578       0        18
  4029  3697       0        18
  4098  3838       0        18
  4111  1395       0        18
  4293  2388       0        18
  4294  1680       0        18
   748  1710       0        17
  2122  1482       0        17
  2928   835       0        17
  3032   287       0        17
  3072   396       0        17
  3624  4996       0        17
  3625  1463       0        17
  3709   807       0        17
  3805  3444       0        17
  3834  4690       0        17
  3874  1325       0        17
  4008  4993       0        17
  4030  3523       0        17
  4112  2578       0        17
  4206  3404       0        17
  4439  1783       0        17
  4454   656       0        17
  1991  1164       0        16
  2123  1575       0        16
  3113   866       0        16
  3626  2601       0        16
  3710   842       0        16
  3802  4232       0        16
  4010  4989       0        16
  4031  3626       0        16
  4212  2413       0        16
  4377  2612       0        16
  4383  1729       0        16
  4456  1686       0        16
  4468   285       0        16
  4472  2375       0        16
  4474  1252       0        16
  4572   909       0        16
  2124  1181       0        15
  3034   290       0        15
  3690  3773       0        15
  3711   774       0        15
  3846  2017       0        15
  3945  4105       0        15
  4032  3618       0        15
  4229  4981       0        15
  4240  2867       0        15
  4378  1891       0        15
  4599  1986       0        15
  4608  1388       0        15
  4696  1250       0        15
  4780  2347       0        15
  4781   896       0        15
  4809  1607       0        15
  2126  1680       0        14
  3151   873       0        14
  3411  1259       0        14
  3668  1968       0        14
  3712   842       0        14
  3952  3120       0        14
  3972  2036       0        14
  4033  3644       0        14
  4248  3103       0        14
  4384  3573       0        14
  4637   724       0        14
  4808  2362       0        14
  4874  1798       0        14
  4876  1917       0        14
  4877  2239       0        14
  2130  1825       0        13
  3418  1557       0        13
  3713   807       0        13
  3863  4725       0        13
  4034  3819       0        13
  4135  1508       0        13
  4236  4981       0        13
  4252  1588       0        13
  4385  4811       0        13
  4639   945       0        13
  4812  2383       0        13
  4909  2241       0        13
  4930   964       0        13
  4984  1731       0        13
  4988  1713       0        13
  2138  1966       0        12
  3037   287       0        12
  3677  1818       0        12
  3714   810       0        12
  3943  1277       0        12
  4035  3553       0        12
  4138  1326       0        12
  4275  3155       0        12
  4386  3009       0        12
  4823  2339       0        12
  4923  1370       0        12
  4926  1096       0        12
  5034  2236       0        12
  3585   667       0        11
  3715   806       0        11
  3970  3590       0        11
  4172  2921       0        11
  4239  4981       0        11
  4387  2446       0        11
  4401   485       0        11
  4651   967       0        11
  4674  2380       0        11
  4860  2481       0        11
  4927  1742       0        11
  4928  1213       0        11
  4932  3142       0        11
  5136  2060       0        11
  5142  2360       0        11
  3586   777       0        10
  3682  1978       0        10
  3716   842       0        10
  3976  1693       0        10
  4037  3644       0        10
  4192  3069       0        10
  4282  4144       0        10
  4388  1711       0        10
  4684  1355       0        10
  4871  2352       0        10
  4960  1965       0        10
  5130  1089       0        10
  5259  1297       0        10
  3718   775       0         9
  3977  3130       0         9
  4038  3556       0         9
  4223  4195       0         9
  4284  3360       0         9
