196
0,0
0,1/24
1/24,1/24
1/24,0
0,23/24
0,1
1/24,1
1/24,23/24
23/24,1
1,1
1,23/24
23/24,23/24
1,1/24
1,0
23/24,0
23/24,1/24
0,1/8
1/24,1/8
1/8,1/24
1/8,0
0,7/8
1/24,7/8
1/8,1
1/8,23/24
7/8,1
7/8,23/24
1,7/8
23/24,7/8
1,1/8
23/24,1/8
7/8,0
7/8,1/24
0,5/24
1/24,5/24
1/8,1/8
5/24,1/24
5/24,0
0,19/24
1/24,19/24
1/8,7/8
5/24,1
5/24,23/24
19/24,1
19/24,23/24
7/8,7/8
1,19/24
23/24,19/24
1,5/24
23/24,5/24
7/8,1/8
19/24,0
19/24,1/24
1/8,5/24
0,7/24
1/24,7/24
5/24,1/8
7/24,1/24
7/24,0
0,17/24
1/24,17/24
1/8,19/24
5/24,7/8
7/24,1
7/24,23/24
17/24,1
17/24,23/24
19/24,7/8
7/8,19/24
1,17/24
23/24,17/24
1,7/24
23/24,7/24
7/8,5/24
19/24,1/8
17/24,0
17/24,1/24
1/8,7/24
5/24,5/24
0,3/8
1/24,3/8
7/24,1/8
3/8,1/24
3/8,0
0,5/8
1/24,5/8
1/8,17/24
5/24,19/24
7/24,7/8
3/8,1
3/8,23/24
5/8,1
5/8,23/24
17/24,7/8
19/24,19/24
7/8,17/24
1,5/8
23/24,5/8
1,3/8
23/24,3/8
7/8,7/24
19/24,5/24
17/24,1/8
5/8,0
5/8,1/24
5/24,7/24
1/8,3/8
7/24,5/24
0,11/24
1/24,11/24
3/8,1/8
11/24,1/24
11/24,0
0,13/24
1/24,13/24
1/8,5/8
5/24,17/24
7/24,19/24
3/8,7/8
11/24,1
11/24,23/24
13/24,1
13/24,23/24
5/8,7/8
17/24,19/24
19/24,17/24
7/8,5/8
1,13/24
23/24,13/24
1,11/24
23/24,11/24
7/8,3/8
19/24,7/24
17/24,5/24
5/8,1/8
13/24,0
13/24,1/24
5/24,3/8
7/24,7/24
1/8,11/24
3/8,5/24
11/24,1/8
1/8,13/24
5/24,5/8
7/24,17/24
3/8,19/24
11/24,7/8
13/24,7/8
5/8,19/24
17/24,17/24
19/24,5/8
