'00001', 'solved', 'Solver', 'solved_00001.txt', ''
'00002', 'solved', 'Solver', 'solved_00002.txt', ''
'00003', 'solved', 'Solver', 'solved_00003.txt', ''
'00004', 'solved', 'Solver', 'solved_00004.txt', ''
'00005', 'solved', 'Solver', 'solved_00005.txt', ''
'00006', 'solved', 'Solver', 'solved_00006.txt', ''
'00007', 'solved', 'Solver', 'solved_00007.txt', ''
'00008', 'solved', 'Solver', 'solved_00008.txt', ''
'00009', 'solved', 'Solver', 'solved_00009.txt', ''
'00010', 'solved', 'Solver', 'solved_00010.txt', ''
'00011', 'solved', 'Solver', 'solved_00011.txt', ''
'00012', 'solved', 'Solver', 'solved_00012.txt', ''
'00013', 'solved', 'Solver', 'solved_00013.txt', ''
'00014', 'solved', 'Solver', 'solved_00014.txt', ''
'00015', 'solved', 'Solver', 'solved_00015.txt', ''
'00016', 'solved', 'Solver', 'solved_00016.txt', ''
'00017', 'solved', 'Solver', 'solved_00017.txt', ''
'00018', 'solved', 'Solver', 'solved_00018.txt', ''
'00019', 'timeout', 'Solver', None, 15
'00020', 'timeout', 'Solver', None, 15
'00021', 'timeout', 'Solver', None, 15
'00022', 'timeout', 'Solver', None, 15
'00023', 'timeout', 'Solver', None, 15
'00024', 'timeout', 'Solver', None, 15
'00025', 'solved', 'Solver', 'solved_00025.txt', ''
'00026', 'timeout', 'Solver', None, 15
'00027', 'timeout', 'Solver', None, 15
'00028', 'timeout', 'Solver', None, 15
'00029', 'timeout', 'Solver', None, 15
'00030', 'timeout', 'Solver', None, 15
'00031', 'timeout', 'Solver', None, 15
'00032', 'timeout', 'Solver', None, 15
'00033', 'timeout', 'Solver', None, 15
'00034', 'timeout', 'Solver', None, 15
'00035', 'timeout', 'Solver', None, 15
'00036', 'solved', 'Solver', 'solved_00036.txt', ''
'00037', 'solved', 'Solver', 'solved_00037.txt', ''
'00038', 'solved', 'Solver', 'solved_00038.txt', ''
'00039', 'solved', 'Solver', 'solved_00039.txt', ''
'00040', 'solved', 'Solver', 'solved_00040.txt', ''
'00041', 'solved', 'Solver', 'solved_00041.txt', ''
'00042', 'solved', 'Solver', 'solved_00042.txt', ''
'00043', 'solved', 'Solver', 'solved_00043.txt', ''
'00044', 'solved', 'Solver', 'solved_00044.txt', ''
'00045', 'solved', 'Solver', 'solved_00045.txt', ''
'00046', 'solved', 'Solver', 'solved_00046.txt', ''
'00047', 'solved', 'Solver', 'solved_00047.txt', ''
'00048', 'solved', 'Solver', 'solved_00048.txt', ''
'00049', 'solved', 'Solver', 'solved_00049.txt', ''
'00050', 'solved', 'Solver', 'solved_00050.txt', ''
'00051', 'timeout', 'Solver', None, 15
'00052', 'timeout', 'Solver', None, 15
'00053', 'timeout', 'Solver', None, 15
'00054', 'timeout', 'Solver', None, 15
'00055', 'solved', 'Solver', 'solved_00055.txt', ''
'00056', 'solved', 'Solver', 'solved_00056.txt', ''
'00057', 'timeout', 'Solver', None, 15
'00058', 'timeout', 'Solver', None, 15
'00059', 'solved', 'Solver', 'solved_00059.txt', ''
'00060', 'timeout', 'Solver', None, 15
'00061', 'timeout', 'Solver', None, 15
'00062', 'solved', 'Solver', 'solved_00062.txt', ''
'00063', 'solved', 'Solver', 'solved_00063.txt', ''
'00064', 'timeout', 'Solver', None, 15
'00065', 'timeout', 'Solver', None, 15
'00066', 'timeout', 'Solver', None, 15
'00067', 'timeout', 'Solver', None, 15
'00068', 'timeout', 'Solver', None, 15
'00069', 'timeout', 'Solver', None, 15
'00070', 'timeout', 'Solver', None, 15
'00071', 'timeout', 'Solver', None, 15
'00072', 'timeout', 'Solver', None, 15
'00073', 'timeout', 'Solver', None, 15
'00074', 'timeout', 'Solver', None, 15
'00075', 'timeout', 'Solver', None, 15
'00076', 'timeout', 'Solver', None, 15
'00077', 'timeout', 'Solver', None, 15
'00078', 'timeout', 'Solver', None, 15
'00079', 'timeout', 'Solver', None, 15
'00080', 'timeout', 'Solver', None, 15
'00081', 'timeout', 'Solver', None, 15
'00082', 'timeout', 'Solver', None, 15
'00083', 'solved', 'Solver', 'solved_00083.txt', ''
'00084', 'timeout', 'Solver', None, 15
'00085', 'timeout', 'Solver', None, 15
'00086', 'timeout', 'Solver', None, 15
'00087', 'timeout', 'Solver', None, 15
'00088', 'timeout', 'Solver', None, 15
'00089', 'timeout', 'Solver', None, 15
'00090', 'timeout', 'Solver', None, 15
'00091', 'timeout', 'Solver', None, 5
'00092', 'timeout', 'Solver', None, 5
'00093', 'timeout', 'Solver', None, 5
'00094', 'timeout', 'Solver', None, 5
'00095', 'timeout', 'Solver', None, 5
'00096', 'timeout', 'Solver', None, 5
'00097', 'timeout', 'Solver', None, 5
'00098', 'timeout', 'Solver', None, 5
'00099', 'timeout', 'Solver', None, 5
'00100', 'timeout', 'Solver', None, 5
'00101', 'timeout', 'Solver', None, 5
'00103', 'solved', 'Solver', 'solved_00103.txt', ''
'00105', 'solved', 'Solver', 'solved_00105.txt', ''
'00107', 'solved', 'Solver', 'solved_00107.txt', ''
'00155', 'solved', 'Solver', 'solved_00155.txt', ''
