196
2/13,2/13
5/13,1/13
1/13,1
8/13,12/13
11/13,11/13
0,5/13
1/13,3/13
12/13,10/13
0,7/13
3/13,9/13
10/13,4/13
3/13,8/13
8/13,5/13
10/13,5/13
2/13,7/13
11/13,6/13
4/13,5/13
9/13,8/13
1/13,7/13
12/13,6/13
4/13,3/13
0,3/13
9/13,10/13
1,1
4/13,4/13
9/13,9/13
7/13,2/13
12/13,1/13
4/13,2/13
1/13,12/13
6/13,5/13
7/13,8/13
6/13,11/13
9/13,11/13
8/13,1
8/13,2/13
11/13,1/13
2/13,12/13
5/13,11/13
7/13,1
0,1
2/13,1/13
5/13,2/13
6/13,1
8/13,11/13
11/13,12/13
7/13,5/13
0,2/13
9/13,2/13
6/13,8/13
1/13,1/13
0,4/13
6/13,2/13
4/13,9/13
9/13,4/13
4/13,11/13
5/13,1
7/13,11/13
12/13,12/13
9/13,3/13
4/13,10/13
1/13,6/13
4/13,0
4/13,8/13
9/13,5/13
12/13,7/13
2/13,6/13
3/13,0
11/13,7/13
2/13,0
3/13,5/13
1/13,0
3/13,4/13
10/13,8/13
10/13,9/13
1/13,10/13
12/13,3/13
8/13,1/13
2/13,11/13
11/13,2/13
5/13,12/13
12/13,1
5/13,5/13
8/13,8/13
7/13,1/13
1/13,11/13
12/13,2/13
6/13,12/13
11/13,1
10/13,1
9/13,1
3/13,10/13
10/13,3/13
1,0
1/13,4/13
12/13,9/13
1,9/13
1,12/13
1,11/13
2/13,5/13
8/13,0
1,5/13
11/13,8/13
7/13,0
0,1/13
0,12/13
3/13,6/13
6/13,0
10/13,7/13
4/13,6/13
5/13,0
7/13,4/13
6/13,9/13
9/13,7/13
8/13,3/13
5/13,10/13
2/13,10/13
11/13,3/13
1,3/13
5/13,6/13
8/13,7/13
6/13,6/13
7/13,7/13
10/13,1/13
3/13,12/13
10/13,2/13
3/13,11/13
7/13,12/13
9/13,1/13
4/13,12/13
6/13,3/13
7/13,10/13
5/13,4/13
8/13,9/13
2/13,4/13
11/13,9/13
1,6/13
12/13,0
1/13,5/13
12/13,8/13
11/13,0
1/13,8/13
10/13,0
12/13,5/13
1,7/13
9/13,0
2/13,9/13
11/13,4/13
8/13,4/13
5/13,9/13
1/13,2/13
2/13,1
12/13,11/13
7/13,3/13
6/13,10/13
4/13,1/13
9/13,12/13
3/13,2/13
0,9/13
3/13,1/13
10/13,11/13
10/13,12/13
0,11/13
6/13,7/13
7/13,6/13
5/13,7/13
8/13,6/13
1,10/13
2/13,3/13
11/13,10/13
5/13,3/13
8/13,10/13
6/13,4/13
7/13,9/13
4/13,7/13
9/13,6/13
0,10/13
3/13,7/13
10/13,6/13
0,0
1,8/13
2/13,8/13
11/13,5/13
1,2/13
1,1/13
1,4/13
1/13,9/13
12/13,4/13
0,6/13
3/13,3/13
0,8/13
4/13,1
10/13,10/13
3/13,1
6/13,1/13
5/13,8/13
169
4 179 71 50 104
4 69 71 50 41
4 47 150 50 104
4 0 150 50 41
4 69 67 159 41
4 47 150 6 21
4 0 150 6 168
4 0 157 159 41
4 62 67 159 155
4 51 94 6 21
4 134 94 6 168
4 0 157 189 168
4 28 157 159 155
4 62 110 1 155
4 51 94 138 5
4 134 94 138 99
4 134 72 189 168
4 28 157 189 20
4 28 42 1 155
4 107 110 1 194
4 188 61 138 5
4 66 61 138 99
4 134 72 70 99
4 24 72 189 20
4 28 42 170 20
4 52 42 1 194
4 107 103 84 194
4 188 61 18 8
4 66 61 18 14
4 66 106 70 99
4 24 72 70 16
4 24 132 170 20
4 52 42 170 130
4 52 26 84 194
4 100 103 84 77
4 190 141 18 8
4 181 141 18 14
4 66 106 177 14
4 109 106 70 16
4 24 132 82 16
4 172 132 170 130
4 52 26 153 130
4 35 26 84 77
4 100 145 128 77
4 190 141 186 158
4 181 141 186 146
4 181 11 177 14
4 109 106 177 174
4 109 119 82 16
4 172 132 82 30
4 172 111 153 130
4 35 26 153 114
4 35 48 128 77
4 142 145 128 123
4 176 75 186 158
4 116 75 186 146
4 181 11 9 146
4 63 11 177 174
4 109 119 165 174
4 121 119 82 30
4 172 111 46 30
4 148 111 153 114
4 35 48 59 114
4 125 48 128 123
4 142 140 36 123
4 176 75 85 162
4 116 75 85 78
4 116 91 9 146
4 63 11 9 53
4 63 195 165 174
4 121 119 165 163
4 121 164 46 30
4 148 111 46 12
4 148 54 59 114
4 125 48 59 92
4 125 79 36 123
4 137 140 36 27
4 105 29 85 162
4 37 29 85 78
4 116 91 126 78
4 60 91 9 53
4 63 195 149 53
4 49 195 165 163
4 121 164 122 163
4 166 164 46 12
4 148 54 64 12
4 10 54 59 92
4 125 79 117 92
4 86 79 36 27
4 137 93 184 27
4 105 29 2 40
4 37 29 2 151
4 37 124 126 78
4 60 91 126 55
4 60 115 149 53
4 49 195 149 112
4 49 31 122 163
4 166 164 122 120
4 166 175 64 12
4 10 54 64 13
4 10 147 117 92
4 86 79 117 76
4 86 183 184 27
4 37 124 193 151
4 129 124 126 55
4 60 115 38 55
4 154 115 149 112
4 49 31 173 112
4 83 31 122 120
4 166 175 113 120
4 178 175 64 13
4 10 147 182 13
4 187 147 117 76
4 86 183 118 76
4 129 124 193 191
4 129 80 38 55
4 154 115 38 32
4 154 131 173 112
4 83 31 173 133
4 83 17 113 120
4 178 175 113 108
4 178 15 182 13
4 187 147 182 143
4 187 185 118 76
4 129 80 56 191
4 87 80 38 32
4 154 131 57 32
4 171 131 173 133
4 83 17 25 133
4 73 17 113 108
4 178 15 68 108
4 19 15 182 143
4 187 185 101 143
4 87 80 56 43
4 87 127 57 32
4 171 131 57 44
4 171 22 25 133
4 73 17 25 74
4 73 102 68 108
4 19 15 68 65
4 19 136 101 143
4 87 127 39 43
4 3 127 57 44
4 171 22 33 44
4 192 22 25 74
4 73 102 135 74
4 139 102 68 65
4 19 136 144 65
4 3 127 39 34
4 3 156 33 44
4 192 22 33 160
4 192 169 135 74
4 139 102 135 95
4 139 180 144 65
4 3 156 90 34
4 161 156 33 160
4 192 169 4 160
4 7 169 135 95
4 139 180 96 95
4 161 156 90 89
4 161 45 4 160
4 7 169 4 152
4 7 167 96 95
4 161 45 88 89
4 58 45 4 152
4 7 167 98 152
4 58 45 88 81
4 58 97 98 152
4 58 97 23 81
0,1/13
1/13,0
1/13,0
0,1/13
1/13,0
1/13,1/13
1/13,0
0,1/13
1/13,1/13
1/13,0
0,1/13
0,0
1/13,1/13
1/13,1/13
1/13,1/13
0,0
1/13,1/13
0,0
1/13,0
0,1/13
1/13,1/13
1/13,1/13
0,0
1/13,0
0,1/13
1/13,0
0,0
1/13,1/13
0,1/13
0,0
1/13,1/13
0,0
1/13,1/13
1/13,0
1/13,1/13
0,1/13
1/13,0
0,1/13
1/13,0
1/13,0
1/13,1/13
1/13,1/13
0,0
1/13,1/13
1/13,1/13
0,0
1/13,0
0,1/13
0,0
0,1/13
1/13,0
0,1/13
0,1/13
1/13,1/13
0,0
1/13,1/13
1/13,0
1/13,0
0,1/13
1/13,0
0,1/13
0,0
0,1/13
0,1/13
1/13,0
1/13,1/13
0,1/13
0,0
1/13,0
0,1/13
1/13,0
0,0
0,0
0,1/13
1/13,1/13
0,0
1/13,1/13
1/13,1/13
1/13,1/13
0,0
0,0
1/13,1/13
1/13,0
0,1/13
1/13,0
1/13,0
0,1/13
0,1/13
1/13,0
1/13,1/13
1/13,0
0,0
1/13,1/13
0,0
0,0
1/13,1/13
1/13,0
0,0
1/13,0
1/13,1/13
0,1/13
1/13,0
0,0
0,0
1/13,1/13
0,1/13
0,0
0,1/13
1/13,1/13
0,1/13
0,0
0,0
1/13,1/13
1/13,0
1/13,1/13
0,0
0,1/13
1/13,0
1/13,0
0,0
1/13,1/13
0,1/13
1/13,0
1/13,1/13
0,0
0,1/13
1/13,0
0,0
1/13,0
0,1/13
1/13,1/13
0,0
0,0
1/13,1/13
0,1/13
1/13,0
0,0
0,1/13
1/13,0
0,1/13
0,0
0,0
0,1/13
1/13,1/13
1/13,0
0,0
1/13,1/13
0,0
0,1/13
1/13,0
0,0
1/13,1/13
1/13,1/13
1/13,0
0,1/13
1/13,1/13
0,0
0,0
1/13,1/13
1/13,0
1/13,1/13
0,1/13
1/13,1/13
1/13,1/13
0,0
1/13,0
0,1/13
0,0
1/13,1/13
0,0
1/13,0
0,1/13
0,1/13
1/13,0
1/13,1/13
0,0
0,1/13
1/13,0
0,1/13
0,1/13
0,0
0,1/13
1/13,0
0,0
1/13,0
0,0
1/13,0
0,1/13
0,1/13
1/13,0
0,1/13
1/13,1/13
0,1/13
1/13,0
1/13,1/13
0,0
